"TIME","FONTE","LOAD"
0.0797767575,16.8168,20.2786
0.0797769735,16.8172,20.2784
0.0797779655,16.8189,20.2774
0.079780325,16.8231,20.2752
0.07978049,16.8233,20.275
0.079780705,16.8237,20.2748
0.079781201,16.8246,20.2743
0.079782825,16.8273,20.2727
0.07978299,16.8276,20.2726
0.079783205,16.828,20.2724
0.079783701,16.8288,20.2719
0.079815957,16.8741,20.2412
0.079874305,16.9273,20.1857
0.079875016,16.9278,20.185
0.079876805,16.9289,20.1833
0.079877516,16.9294,20.1826
0.0798805325,16.9314,20.1797
0.0798810075,16.9317,20.1793
0.0798830325,16.933,20.1773
0.0798835075,16.9333,20.1769
0.0799487875,16.9619,20.1151
0.0799741425,16.9689,20.091
0.0799743825,16.969,20.0908
0.0799744525,16.969,20.0908
0.0799755905,16.9693,20.0897
0.0799766425,16.9695,20.0887
0.0799768825,16.9696,20.0885
0.0799769525,16.9696,20.0884
0.0799780905,16.9699,20.0873
0.07998038,16.9705,20.0851
0.079980615,16.9706,20.0849
0.07998066,16.9706,20.0848
0.079981326,16.9708,20.0842
0.07998288,16.9712,20.0827
0.079983115,16.9712,20.0825
0.07998316,16.9712,20.0824
0.079983826,16.9714,20.0818
0.07998741,16.9719,20.0784
0.080074225,16.9841,19.9966
0.080074395,16.9841,19.9965
0.080074595,16.9841,19.9963
0.080074693,16.9841,19.9962
0.080076725,16.9843,19.9943
0.080076895,16.9843,19.9941
0.080077095,16.9843,19.9939
0.080077193,16.9843,19.9938
0.0800804525,16.9847,19.9907
0.0800805925,16.9847,19.9906
0.0800807625,16.9848,19.9904
0.0800809085,16.9848,19.9903
0.0800829525,16.985,19.9883
0.0800830925,16.985,19.9882
0.0800832625,16.9851,19.988
0.0800834085,16.9851,19.9879
0.0800915685,16.9857,19.9802
0.0801489125,16.9884,19.9264
0.0801744625,16.9896,19.9025
0.0801745075,16.9896,19.9025
0.0801748195,16.9896,19.9022
0.0801757155,16.9896,19.9013
0.0801769625,16.9896,19.9002
0.0801770075,16.9896,19.9001
0.0801773195,16.9897,19.8998
0.0801782155,16.9897,19.899
0.080180705,16.9899,19.8966
0.08018074,16.9899,19.8966
0.080181003,16.9899,19.8963
0.080181451,16.9899,19.8959
0.080183205,16.9901,19.8943
0.08018324,16.9901,19.8942
0.080183503,16.9901,19.894
0.080183951,16.9901,19.8935
0.0802743125,16.9915,19.8092
0.08027435,16.9915,19.8092
0.08027458,16.9915,19.809
0.08027472,16.9915,19.8088
0.080276802,16.9916,19.8069
0.08027685,16.9916,19.8069
0.08027708,16.9916,19.8066
0.08027722,16.9916,19.8065
0.080279302,16.9917,19.8045
0.0802805775,16.9917,19.8033
0.0802808175,16.9917,19.8031
0.0802808875,16.9917,19.803
0.0802820255,16.9918,19.802
0.0802830775,16.9918,19.801
0.0802833175,16.9919,19.8008
0.0802833875,16.9919,19.8007
0.0802845255,16.9919,19.7996
0.0802916935,16.9919,19.793
0.0803744525,16.9922,19.7161
0.0803745875,16.9922,19.716
0.0803748325,16.9922,19.7158
0.0803749445,16.9922,19.7157
0.0803769525,16.9922,19.7138
0.0803770875,16.9922,19.7137
0.0803773325,16.9923,19.7134
0.0803774445,16.9923,19.7133
0.08038066,16.9924,19.7103
0.08038083,16.9924,19.7101
0.08038103,16.9924,19.71
0.080381128,16.9924,19.7099
0.08038316,16.9925,19.708
0.08038333,16.9925,19.7078
0.08038353,16.9925,19.7076
0.080383628,16.9925,19.7075
0.080399948,16.9925,19.6924
0.0804744375,16.9925,19.6236
0.08047466,16.9925,19.6234
